column,mean,ci_lower,ci_upper,bootstrap_lower,bootstrap_upper,ci_width,bootstrap_width
age,16.7442218798151,16.650504075439812,16.83793968419039,16.651771956856702,16.83975346687211,0.18743560875057597,0.1879815100154083
Medu,2.514637904468413,2.4273507876934977,2.6019250212433285,2.4298921417565484,2.6024653312788906,0.17457423354983082,0.17257318952234213
Fedu,2.3066255778120186,2.2220020454494325,2.3912491101746047,2.221879815100154,2.3929121725731894,0.16924706472517226,0.17103235747303547
traveltime,1.568567026194145,1.510968625781526,1.6261654266067638,1.5115562403697997,1.6271186440677967,0.11519680082523776,0.11556240369799697
studytime,1.9306625577812018,1.8668439764290947,1.9944811391333088,1.8659476117103235,1.9938366718027736,0.1276371627042141,0.12788906009245005
failures,0.2218798151001541,0.1762390813559046,0.26752054884440357,0.17719568567026195,0.2696456086286595,0.09128146748849897,0.09244992295839755
famrel,3.930662557781202,3.8571341766215657,4.004190938940838,3.856702619414484,4.0046224961479195,0.14705676231927267,0.14791987673343554
freetime,3.180277349768875,3.0994112102087548,3.2611434893289952,3.100154083204931,3.2604006163328196,0.16173227912024046,0.16024653312788883
goout,3.184899845916795,3.0944419082610812,3.2753577835725087,3.093990755007704,3.275808936825886,0.1809158753114275,0.18181818181818166
Dalc,1.50231124807396,1.4311588187964002,1.5734636773515198,1.4345146379044684,1.576271186440678,0.14230485855511965,0.14175654853620956
Walc,2.280431432973806,2.1816172538092635,2.379245612138348,2.1833590138674883,2.37904468412943,0.19762835832908454,0.1956856702619416
health,3.536209553158706,3.4249411559435305,3.6474779503738812,3.4237288135593222,3.647149460708783,0.22253679443035068,0.22342064714946064
absences,3.6594761171032357,3.3024378711264566,4.016514363080015,3.3066255778120186,4.032395993836672,0.7140764919535583,0.7257704160246532
G1,11.399075500770415,11.187867660270674,11.610283341270156,11.186440677966102,11.608628659476118,0.4224156809994817,0.4221879815100156
G2,11.570107858243452,11.34594614653569,11.794269569951213,11.338983050847459,11.796610169491526,0.44832342341552334,0.45762711864406747
G3,11.906009244992296,11.65745768566587,12.154560804318722,11.651771956856702,12.151001540832048,0.49710311865285206,0.499229583975346
