,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
age,1.0,-0.10783182168328716,-0.12105049703353692,0.03449001957112496,-0.00841511473032031,0.3199679477700505,-0.02055945504034186,-0.0049102591888240555,0.11280462078676542,0.13476826838640507,0.08635734514165758,-0.008750117130007083,0.14999819003988463,-0.17432223952760745,-0.10711907881607756,-0.10650539063847742
Medu,-0.10783182168328716,1.0,0.6474766091364943,-0.2650790028065537,0.09700583290488131,-0.1722102872776206,0.024420573121111774,-0.01968629824280799,0.009536493875243078,-0.007018319051808879,-0.01976578577475952,0.004614055999030898,-0.008577494775545973,0.26047228956523216,0.2640352996954117,0.24015075657359514
Fedu,-0.12105049703353692,0.6474766091364943,1.0,-0.20828797848977135,0.05039964766444922,-0.16591500535547477,0.020255884809253916,0.00684063104053267,0.027689742855497437,6.077489938230663e-05,0.0384447002652423,0.044909788415312374,0.029858663975560848,0.21750065064752314,0.2251389296521708,0.21179967911445172
traveltime,0.03449001957112496,-0.2650790028065537,-0.20828797848977135,1.0,-0.06315390424614713,0.0977297501284627,-0.009521184519664655,0.0009367341272307921,0.05745419566943001,0.09282428355692024,0.0570071779978884,-0.04826120642527855,-0.008149087354862151,-0.15411962111281535,-0.15448887058863833,-0.12717296675842094
studytime,-0.00841511473032031,0.09700583290488131,0.05039964766444922,-0.06315390424614713,1.0,-0.14744054515158297,-0.004127129214111947,-0.06882922218083942,-0.07544221085456851,-0.1375847394424694,-0.21492510452682612,-0.05643269351112612,-0.11838937011024397,0.26087538031319013,0.24049799907999114,0.24978868999886308
failures,0.3199679477700505,-0.1722102872776206,-0.16591500535547477,0.0977297501284627,-0.14744054515158297,1.0,-0.06264516268418767,0.10899462179242314,0.04507777595307839,0.10594909220788187,0.0822662646923068,0.03558821278366823,0.12277883526082045,-0.384210476004419,-0.38578221523188205,-0.3933155480419926
famrel,-0.02055945504034186,0.024420573121111774,0.020255884809253916,-0.009521184519664655,-0.004127129214111947,-0.06264516268418767,1.0,0.12921567655885216,0.0897065691292657,-0.07576722502380892,-0.09351080600009955,0.10955921666418504,-0.08953365432972478,0.04879460349123026,0.08958778299759299,0.06336112772983056
freetime,-0.0049102591888240555,-0.01968629824280799,0.00684063104053267,0.0009367341272307921,-0.06882922218083942,0.10899462179242314,0.12921567655885216,1.0,0.34635178804693684,0.10990355938003123,0.1202438806988557,0.08452642601918957,-0.018716028242381316,-0.09449660588180091,-0.10667792651255599,-0.12270492583369787
goout,0.11280462078676542,0.009536493875243078,0.027689742855497437,0.05745419566943001,-0.07544221085456851,0.04507777595307839,0.0897065691292657,0.34635178804693684,1.0,0.24512598855543796,0.3886797612064947,-0.015741131042270748,0.08537382666952785,-0.07405263312184847,-0.07946919397288821,-0.08764072272424253
Dalc,0.13476826838640507,-0.007018319051808879,6.077489938230663e-05,0.09282428355692024,-0.1375847394424694,0.10594909220788187,-0.07576722502380892,0.10990355938003123,0.24512598855543796,1.0,0.6165613820643421,0.0590674576756243,0.1729524910452464,-0.1951709341928914,-0.18947993515773712,-0.20471939724815696
Walc,0.08635734514165758,-0.01976578577475952,0.0384447002652423,0.0570071779978884,-0.21492510452682612,0.0822662646923068,-0.09351080600009955,0.1202438806988557,0.3886797612064947,0.6165613820643421,1.0,0.11498797166707762,0.1563729695217544,-0.15564948637866224,-0.1648521867672083,-0.17661887420966438
health,-0.008750117130007083,0.004614055999030898,0.044909788415312374,-0.04826120642527855,-0.05643269351112612,0.03558821278366823,0.10955921666418504,0.08452642601918957,-0.015741131042270748,0.0590674576756243,0.11498797166707762,1.0,-0.030234864488400796,-0.05164741507284648,-0.08217908362558927,-0.09885124139431796
absences,0.14999819003988463,-0.008577494775545973,0.029858663975560848,-0.008149087354862151,-0.11838937011024397,0.12277883526082045,-0.08953365432972478,-0.018716028242381316,0.08537382666952785,0.1729524910452464,0.1563729695217544,-0.030234864488400796,1.0,-0.1471492417639847,-0.12474493347142752,-0.09137905643875593
G1,-0.17432223952760745,0.26047228956523216,0.21750065064752314,-0.15411962111281535,0.26087538031319013,-0.384210476004419,0.04879460349123026,-0.09449660588180091,-0.07405263312184847,-0.1951709341928914,-0.15564948637866224,-0.05164741507284648,-0.1471492417639847,1.0,0.8649816303085825,0.8263871247890487
G2,-0.10711907881607756,0.2640352996954117,0.2251389296521708,-0.15448887058863833,0.24049799907999114,-0.38578221523188205,0.08958778299759299,-0.10667792651255599,-0.07946919397288821,-0.18947993515773712,-0.1648521867672083,-0.08217908362558927,-0.12474493347142752,0.8649816303085825,1.0,0.9185480035603523
G3,-0.10650539063847742,0.24015075657359514,0.21179967911445172,-0.12717296675842094,0.24978868999886308,-0.3933155480419926,0.06336112772983056,-0.12270492583369787,-0.08764072272424253,-0.20471939724815696,-0.17661887420966438,-0.09885124139431796,-0.09137905643875593,0.8263871247890487,0.9185480035603523,1.0
