,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
age,1.0,-0.10228754929187492,-0.11021109652507416,0.06712224926046231,0.016959277253776727,0.29073473610806966,-0.019374396724564494,-0.009868922526716417,0.13053614610914094,0.08131888775754945,0.09434274949042269,-0.018050958110085058,0.1242604965798329,-0.16737324853326227,-0.10559495088837587,-0.06627694804825776
Medu,-0.10228754929187492,1.0,0.6471941645762035,-0.26328894153755283,0.09841536896227902,-0.20823964635969988,0.025086503920484313,-0.02789459372106413,0.010205216927258606,0.0019611437854929804,-0.018234051246505196,0.016111581615757008,-0.006011139353357055,0.2763997164452822,0.28564204014648414,0.28392526228525355
Fedu,-0.11021109652507416,0.6471941645762035,1.0,-0.22203436667134496,0.0690804254023055,-0.16131190505755316,0.021283901184932924,-0.0001513685511346094,0.02878659709533577,-0.004897389705672679,0.029725705653398632,0.04635075801097048,0.03202479030337243,0.2349507575492561,0.2462854047298021,0.23463307676884482
traveltime,0.06712224926046231,-0.26328894153755283,-0.22203436667134496,1.0,-0.08938687494382742,0.12361434104497439,-0.025649207605612245,-0.0010490721123038171,0.04071371480845235,0.0684630484941871,0.03151665310064671,-0.06384353687716154,0.02292412270036263,-0.16622586589925645,-0.16690108108034404,-0.14694771585602495
studytime,0.016959277253776727,0.09841536896227902,0.0690804254023055,-0.08938687494382742,1.0,-0.160307149937226,0.01936969038847884,-0.07649639897284402,-0.08231784807602673,-0.17130939536560247,-0.22208798283526313,-0.07673230417525904,-0.11694545491878475,0.2714115406150029,0.25925248469937906,0.27471184833560996
failures,0.29073473610806966,-0.20823964635969988,-0.16131190505755316,0.12361434104497439,-0.160307149937226,1.0,-0.05872284788650102,0.10043711882135455,0.04166744705842767,0.10886173648098266,0.06474571106400982,0.041131503147466775,0.12090837627603997,-0.4324323122543667,-0.43574050348048216,-0.44836030008083266
famrel,-0.019374396724564494,0.025086503920484313,0.021283901184932924,-0.025649207605612245,0.01936969038847884,-0.05872284788650102,1.0,0.14412345751474068,0.08777529550557273,-0.09752929684126552,-0.10203267453264804,0.09254227194634135,-0.10390533530554394,0.026310123620049374,0.058782587999130165,0.0477552843573761
freetime,-0.009868922526716417,-0.02789459372106413,-0.0001513685511346094,-0.0010490721123038171,-0.07649639897284402,0.10043711882135455,0.14412345751474068,1.0,0.3543452807662211,0.12717155552511386,0.12014797528291503,0.0951053627297236,-0.028479103755407555,-0.1051191276074755,-0.12096286344807573,-0.1283747689948354
goout,0.13053614610914094,0.010205216927258606,0.02878659709533577,0.04071371480845235,-0.08231784807602673,0.04166744705842767,0.08777529550557273,0.3543452807662211,1.0,0.23397658135944688,0.372454675022408,-0.012122097311529688,0.10387385780592315,-0.07821576320698101,-0.11169728443059113,-0.10496703071569809
Dalc,0.08131888775754945,0.0019611437854929804,-0.004897389705672679,0.0684630484941871,-0.17130939536560247,0.10886173648098266,-0.09752929684126552,0.12717155552511386,0.23397658135944688,1.0,0.6130561092876308,0.08494647240356608,0.1042799552594373,-0.1984760103127543,-0.2005921473568881,-0.20839404489394753
Walc,0.09434274949042269,-0.018234051246505196,0.029725705653398632,0.03151665310064671,-0.22208798283526313,0.06474571106400982,-0.10203267453264804,0.12014797528291503,0.372454675022408,0.6130561092876308,1.0,0.11428201869704438,0.145104941637461,-0.15795687858170868,-0.1699882749266617,-0.17089524394497582
health,-0.018050958110085058,0.016111581615757008,0.04635075801097048,-0.06384353687716154,-0.07673230417525904,0.041131503147466775,0.09254227194634135,0.0951053627297236,-0.012122097311529688,0.08494647240356608,0.11428201869704438,1.0,-0.01116842622486449,-0.0631340765545142,-0.09914698077842288,-0.10567183020684638
absences,0.1242604965798329,-0.006011139353357055,0.03202479030337243,0.02292412270036263,-0.11694545491878475,0.12090837627603997,-0.10390533530554394,-0.028479103755407555,0.10387385780592315,0.1042799552594373,0.145104941637461,-0.01116842622486449,1.0,-0.1704298790610597,-0.16388535677716484,-0.15851002809372583
G1,-0.16737324853326227,0.2763997164452822,0.2349507575492561,-0.16622586589925645,0.2714115406150029,-0.4324323122543667,0.026310123620049374,-0.1051191276074755,-0.07821576320698101,-0.1984760103127543,-0.15795687858170868,-0.0631340765545142,-0.1704298790610597,1.0,0.8930648803068925,0.8832876374956353
G2,-0.10559495088837587,0.28564204014648414,0.2462854047298021,-0.16690108108034404,0.25925248469937906,-0.43574050348048216,0.058782587999130165,-0.12096286344807573,-0.11169728443059113,-0.2005921473568881,-0.1699882749266617,-0.09914698077842288,-0.16388535677716484,0.8930648803068925,1.0,0.9444511866922519
G3,-0.06627694804825776,0.28392526228525355,0.23463307676884482,-0.14694771585602495,0.27471184833560996,-0.44836030008083266,0.0477552843573761,-0.1283747689948354,-0.10496703071569809,-0.20839404489394753,-0.17089524394497582,-0.10567183020684638,-0.15851002809372583,0.8832876374956353,0.9444511866922519,1.0
