,Mean,Median,Mode,Std,Variance,Skewness,Kurtosis,Q1,Q3,Range,IQR,CV,Missing %
age,16.7442218798151,17.0,17,1.2181376394800618,1.483859308718057,0.4167953798111204,0.07150858494933487,16.0,18.0,7,2.0,7.274973111461858,0.0
Medu,2.514637904468413,2.0,2,1.1345519999533142,1.2872082405980652,-0.029950358081110445,-1.2606193193690842,2.0,4.0,4,2.0,45.11790735108461,0.0
Fedu,2.3066255778120186,2.0,2,1.0999309111408047,1.2098480092830408,0.21534336325478984,-1.1092413844724942,1.0,3.0,4,2.0,47.68571551973161,0.0
traveltime,1.568567026194145,1.0,1,0.7486600863534141,0.5604919248987014,1.2476475492990087,1.1088649540584097,1.0,2.0,3,1.0,47.72891906123435,0.0
studytime,1.9306625577812018,2.0,2,0.8295095746366183,0.6880861344138235,0.6996192054467889,0.03784612702530943,1.0,2.0,3,1.0,42.96502106457824,0.0
failures,0.2218798151001541,0.0,0,0.5932351492649646,0.3519279423234247,3.092698960847477,9.824408582632877,0.0,0.0,3,0.0,267.3677860228903,0.0
famrel,3.930662557781202,4.0,4,0.95571689133819,0.9133947763891337,-1.1059340909420583,1.3489725829219301,4.0,5.0,4,1.0,24.31439680433106,0.0
freetime,3.180277349768875,3.0,3,1.051092575357061,1.1047956019707388,-0.1812774790934117,-0.3969588251952243,3.0,4.0,4,1.0,33.05034309141146,0.0
goout,3.184899845916795,3.0,3,1.175766113842308,1.3824259544598427,-0.008579903539792107,-0.8654537522799943,2.0,4.0,4,2.0,36.91689443075268,0.0
Dalc,1.50231124807396,1.0,1,0.9248344305673312,0.8553187239627997,2.141913360367646,4.3492974717455715,1.0,2.0,4,1.0,61.56077389109722,0.0
Walc,2.280431432973806,2.0,1,1.2843799719490272,1.6496319123437837,0.6359042701186859,-0.7706892185419245,1.0,3.0,4,2.0,56.32179741857558,0.0
health,3.536209553158706,4.0,5,1.4462590500910721,2.0916652399703306,-0.5006561886039521,-1.121175092029219,2.0,5.0,4,3.0,40.89856747316365,0.0
absences,3.6594761171032357,2.0,0,4.640758808397126,21.53664231771551,2.020693704014018,5.781077639181336,0.0,6.0,32,6.0,126.81484070104148,0.0
G1,11.399075500770415,11.0,10,2.7452651284463707,7.536480625463668,-0.0027736368904273173,0.036638230479381306,10.0,13.0,19,3.0,24.083226120055347,0.0
G2,11.570107858243452,11.0,11,2.913638664303868,8.48929026612643,-0.3602826464466586,1.6624647500937524,10.0,13.0,19,3.0,25.182467613972705,0.0
G3,11.906009244992296,12.0,11,3.230656242804804,10.437139759173654,-0.9129093547157225,2.7122043191041723,10.0,14.0,19,4.0,27.134669361722764,0.0
